open,high,low,last,time
0,0,0,73.65,441586800000
0,0,0,74.65,441846000000
0,0,0,75.65,441932400000
0,0,0,76.2,442018800000
0,0,0,76.725,442105200000
0,0,0,78.5,442450800000
0,0,0,77.55,442537200000
0,0,0,77.575,442623600000
0,0,0,78.6,442710000000
0,0,0,78.225,442796400000
0,0,0,78.375,443055600000
0,0,0,77.875,443142000000
0,0,0,77.325,443228400000
0,0,0,77.5,443314800000
0,0,0,78.1,443401200000
0,0,0,78.575,443660400000
0,0,0,78.65,443746800000
0,0,0,78.025,443833200000
0,0,0,78.05,443919600000
0,0,0,78.85,444006000000
0,0,0,79.6,444265200000
0,0,0,79.25,444351600000
0,0,0,80.15,444438000000
0,0,0,80.725,444524400000
0,0,0,82.175,444610800000
0,0,0,82.275,444870000000
0,0,0,81.25,444956400000
0,0,0,81.775,445042800000
0,0,0,80.575,445129200000
0,0,0,80.475,445215600000
0,0,0,81.225,445474800000
0,0,0,80.475,445561200000
0,0,0,80.45,445647600000
0,0,0,79.475,445734000000
0,0,0,79.15,445820400000
0,0,0,79.85,446079600000
0,0,0,79.95,446166000000
0,0,0,78.85,446252400000
0,0,0,78.9,446338800000
0,0,0,78.275,446425200000
0,0,0,77.675,446684400000
0,0,0,76.75,446770800000
0,0,0,75.95,446857200000
0,0,0,77.125,446943600000
0,0,0,77.85,447030000000
0,0,0,78.05,447289200000
0,0,0,77.3,447375600000
0,0,0,76.125,447462000000
0,0,0,76.05,447548400000
0,0,0,76.025,447634800000
0,0,0,75.775,447894000000
0,0,0,75.9,447980400000
0,0,0,76.7,448066800000
0,0,0,77.1,448153200000
0,0,0,78.175,448239600000
0,0,0,78.25,448498800000
0,0,0,77.55,448585200000
0,0,0,77.675,448671600000
0,0,0,77.65,448758000000
0,0,0,77.75,448844400000
0,0,0,78.3,449100000000
0,0,0,78.375,449186400000
0,0,0,78.2,449272800000
0,0,0,78.675,449359200000
0,0,0,79.15,449704800000
0,0,0,78.85,449791200000
0,0,0,78.175,449877600000
0,0,0,78.4,449964000000
0,0,0,78.175,450050400000
0,0,0,77.4,450309600000
0,0,0,76.3,450396000000
0,0,0,76.675,450482400000
0,0,0,74.475,450568800000
0,0,0,74.725,450655200000
