,open,high,low,last,time,closePct,closeHighRatio
8766,1449.714395,1453.232111,1435.547197,1435.547197,1544396400000,-0.00977240624005793,
8765,1438.910807,1468.282751,1438.910807,1454.028251,1544137200000,0.010506171700467304,51.46899367641442
8764,1477.900484,1477.900484,1436.6629380000002,1436.6629380000002,1544050800000,-0.027902789427599828,
8763,1502.3683529999998,1502.3683529999998,1478.905075,1478.957336,1543964400000,-0.01558274104566415,
8762,1528.5535,1528.717797,1506.426502,1506.426502,1543878000000,-0.01447577595419458,
8761,1523.88185,1544.3886300000001,1523.88185,1529.78294,1543791600000,0.0038724065123552087,28.776287647305043
8760,1515.6529269999999,1519.184252,1509.217157,1514.634157,1543532400000,-0.0006721657589620067,
8759,1501.653533,1518.624904,1501.653533,1515.383848,1543446000000,0.009143463987042022,80.90280390429238
8758,1497.24311,1505.739616,1493.1165330000001,1500.454297,1543359600000,0.0021447331956665483,37.794206230184976
8757,1499.180572,1505.073483,1490.762226,1496.413915,1543273200000,-0.001845446140159801,
8756,1480.1202,1498.254993,1480.1202,1498.254993,1543186800000,0.012252243432661736,100.0
8755,1465.788547,1477.654083,1465.0427339999999,1477.351035,1542927600000,0.007888237374800378,97.44598136991034
8754,1478.349299,1478.349299,1465.217592,1466.391938,1542841200000,-0.008088319186871695,
8753,1456.84601,1478.441858,1456.84601,1478.441858,1542754800000,0.014823699863789841,100.0
8752,1480.3023130000001,1480.3023130000001,1447.971435,1456.84601,1542668400000,-0.015845616664925233,
8751,1500.057936,1509.135849,1481.902192,1482.4879050000002,1542582000000,-0.011712901600888448,
8750,1490.413606,1505.744217,1489.2934599999999,1499.4347890000001,1542322800000,0.006052805049338916,58.844249586661256
8749,1503.001599,1510.0689929999999,1482.522931,1489.785993,1542236400000,-0.008792809008847935,
8748,1518.676753,1518.676753,1496.863806,1502.4503789999999,1542150000000,-0.010684547562834878,
8747,1514.913762,1527.287143,1505.197044,1520.262692,1542063600000,0.0035308478503346397,43.22933238700128
8746,1531.293883,1537.99258,1513.481164,1514.586041,1541977200000,-0.01091093106652219,
8745,1535.098399,1535.2490890000001,1528.581956,1530.507103,1541718000000,-0.002990880586541511,
8744,1540.682987,1549.740454,1534.9545050000002,1536.7945630000002,1541631600000,-0.002523831335069948,
8743,1535.235711,1547.420665,1535.056267,1538.6895,1541545200000,0.0022496799515887567,28.34470281955843
8742,1538.9716019999998,1541.868194,1529.403858,1534.598792,1541458800000,-0.002841384463700969,
8741,1550.656758,1550.656758,1534.688556,1539.013365,1541372400000,-0.007508684910397245,
8740,1537.693378,1551.7902080000001,1537.693378,1551.394788,1541113200000,0.008910365483800753,97.19497220297008
8739,1537.722428,1541.805583,1525.07525,1531.25601,1541026800000,-0.00420519196589364,
8738,1519.7845550000002,1544.9828220000002,1519.7845550000002,1538.220527,1540940400000,0.012130648347061124,73.16365050024977
8737,1504.183261,1516.000864,1495.869628,1516.000864,1540854000000,0.007856491497015838,100.0
8736,1485.857355,1517.719873,1485.857355,1503.142732,1540767600000,0.011633268120814888,54.249877552050265
8735,1504.463208,1504.463208,1473.793081,1485.26749,1540504800000,-0.012759180748273868,
8734,1500.101124,1511.329912,1487.675551,1506.020925,1540418400000,0.003946267958399252,52.71985720987931
8733,1511.554965,1523.073066,1500.2415330000001,1501.470782,1540332000000,-0.006671396828761611,
8732,1523.271131,1523.271131,1499.642419,1508.8750220000002,1540245600000,-0.00945078568550628,
8731,1533.020536,1545.36125,1523.464462,1526.05468,1540159200000,-0.004543876508122713,
8730,1545.9946929999999,1546.924658,1510.692573,1531.661603,1539900000000,-0.009271112032206652,
8729,1553.199153,1558.610296,1542.423913,1543.8689949999998,1539813600000,-0.006007058387830666,
8728,1554.928966,1562.7806970000001,1544.989945,1548.26705,1539727200000,-0.004284386068861723,
8727,1535.060652,1554.160561,1526.67151,1554.160561,1539640800000,0.012442445824609738,100.0
8726,1536.564641,1539.8221939999999,1521.3153300000001,1536.095333,1539554400000,-0.0003054267861419824,
8725,1551.1396730000001,1565.541872,1536.4558769999999,1536.4558769999999,1539295200000,-0.009466456345353369,
8724,1591.5585609999998,1591.5585609999998,1547.153574,1550.412081,1539208800000,-0.025852947549819927,
8723,1625.971864,1626.189475,1591.934456,1595.125684,1539122400000,-0.018970918675134008,
8722,1619.753874,1625.768116,1607.821022,1624.488521,1539036000000,0.002923065705228156,78.72391899095548
8721,1634.452365,1634.452365,1620.82081,1621.189685,1538949600000,-0.008114448780524697,
8720,1649.214942,1649.61096,1633.675034,1634.859062,1538690400000,-0.008704674954369884,
8719,1664.476536,1664.803296,1643.556828,1648.960862,1538604000000,-0.009321653783889716,
8718,1658.761612,1677.325172,1658.726388,1665.1416390000002,1538517600000,0.0038462591332262264,34.36855323009238
8717,1665.904507,1665.904507,1650.574987,1656.901672,1538431200000,-0.005404172305297661,
8716,1662.713205,1670.348287,1657.0791769999998,1667.447101,1538344800000,0.0028470911193612114,62.00190122385001
8715,1674.883407,1674.91315,1654.196403,1662.357767,1538085600000,-0.007478514592508589,
8714,1657.3219470000001,1676.886205,1649.480809,1676.37437,1537999200000,0.01149590943056511,97.3838261589066
8713,1656.669266,1658.828552,1648.274312,1658.288599,1537912800000,0.0009774630538716966,74.9939100239612
8712,1654.783263,1658.90434,1650.3818720000002,1656.70757,1537826400000,0.0011628755517574252,46.69427433653854
8711,1661.659658,1661.659658,1652.836796,1655.008112,1537740000000,-0.004002953293098521,
