ticker,year,period,reportEndDate,bruttomarginal,operativtkassaflodesmarginal,vinsttillvaxt,ebittillvaxt,omsattningstillvaxt,vinst/aktie,egetkapital/aktie,fcf/aktie,rorelsemarginal,ebita/aktie,ebit/aktie,operativkassaflode/aktie,aretskassaflode/aktie,vinstmarginal,price,stockChange,stockChangePct
247,2018,3,Tue Oct 30 2018 00:00:00 GMT+0100 (GMT+01:00),56.97205352783203,6.886115550994873,,,,0.05849999934434891,,0.031115859746932983,13.103422164916992,0.06603685021400452,0.06573694199323654,0.034546103328466415,0.01960674114525318,11.676132202148438,8.5,-0.6399999999999997,-0.07529411764705879
247,2018,2,Mon Jul 30 2018 00:00:00 GMT+0200 (GMT+02:00),53.5582160949707,62.98512268066406,,,,0.04019999876618385,,0.05336557328701019,6.26230001449585,0.030178634449839592,0.029822489246726036,0.29994937777519226,0.05413409695029259,8.45863151550293,6.44,2.0599999999999996,0.31987577639751547
247,2018,1,Tue May 01 2018 00:00:00 GMT+0200 (GMT+02:00),55.5900993347168,-19.03162956237793,,,,0.037300001829862595,0.4813023805618286,-0.0922229066491127,5.600464344024658,0.025717444717884064,0.025323811918497086,-0.08605597168207169,-0.12616918981075287,8.270115852355957,6.12,0.3200000000000003,0.05228758169934645
247,2017,3,Mon Oct 30 2017 00:00:00 GMT+0100 (GMT+01:00),,,,,,,,,,,,,,,,6.12,Infinity
2CUREX,2018,3,Tue Oct 30 2018 00:00:00 GMT+0100 (GMT+01:00),39.22206115722656,-112.65283203125,,,,-0.09390000253915787,1.8016425371170044,-0.5035169124603271,-21.054330825805664,-0.0802125632762909,-0.09450241178274155,-0.5056425333023071,-0.5035169124603271,-20.938091278076172,14.68,2.3200000000000003,0.1580381471389646
2CUREX,2018,2,Mon Jul 30 2018 00:00:00 GMT+0200 (GMT+02:00),-90.36676788330078,-265.3059387207031,,,19.541095733642578,-0.41100001335144043,1.8944348096847534,-0.3561932444572449,-382.2204284667969,-0.39856037497520447,-0.4098067581653595,-0.2844541072845459,-0.3561932444572449,-383.3288269042969,8.49,6.1899999999999995,0.7290930506478209
2CUREX,2018,1,Tue May 01 2018 00:00:00 GMT+0200 (GMT+02:00),-507.3631286621094,4414.7578125,,,-29.922822952270508,-0.38960000872612,2.299739122390747,1.349217414855957,-1270.8306884765625,-0.38082125782966614,-0.3902125656604767,1.3555651903152466,1.349217414855957,-1269.10009765625,7.65,0.8399999999999999,0.10980392156862742
2CUREX,2017,4,Wed Jan 31 2018 00:00:00 GMT+0100 (GMT+01:00),30.856374740600586,-152.52825927734375,,,,-0.3149000108242035,2.6021738052368164,-0.5569275617599487,-113.13917541503906,-0.38563284277915955,-0.4226376712322235,-0.56977778673172,1.5787729024887085,-84.31317138671875,7.42,0.23000000000000043,0.0309973045822103
2CUREX,2017,3,Mon Oct 30 2017 00:00:00 GMT+0100 (GMT+01:00),,-5135.90185546875,,,,0.2703000009059906,,0.2704927623271942,-4909.982421875,0.2536618411540985,0.27087923884391785,0.28334298729896545,0.2704927623271942,-4900.70068359375,,7.42,Infinity
2CUREX,2017,2,Sun Jul 30 2017 00:00:00 GMT+0200 (GMT+02:00),0.42012280225753784,-167.33815002441406,,,,-0.15809999406337738,,-0.15008695423603058,-176.22535705566406,-0.14932367205619812,-0.15805797278881073,-0.15008695423603058,-0.15008695423603058,-176.3654022216797,,,
2CUREX,2017,1,Mon May 01 2017 00:00:00 GMT+0200 (GMT+02:00),-126.96802520751953,-280.94818115234375,,,,-0.19859999418258667,,-0.12310145050287247,-454.2668151855469,-0.19057004153728485,-0.19904348254203796,-0.12310145050287247,-0.12310145050287247,-453.3847961425781,,,
A1M,2018,3,Tue Oct 30 2018 00:00:00 GMT+0100 (GMT+01:00),,,,,,-0.7997000217437744,1.7973103523254395,-0.6201195120811462,,-0.7111732363700867,-0.7997686266899109,-0.6662489175796509,-0.6201195120811462,,4.1,-2.6999999999999997,-0.6585365853658537
A1M,2018,2,Mon Jul 30 2018 00:00:00 GMT+0200 (GMT+02:00),,,,,,0.3797999918460846,2.9300105571746826,-1.1205533742904663,,-0.7028343081474304,-0.7117516398429871,-1.0653619766235352,1.1101417541503906,,4.45,-0.35000000000000053,-0.07865168539325855
A1M,2018,1,Tue May 01 2018 00:00:00 GMT+0200 (GMT+02:00),,,,,,-1.8206000328063965,2.697963237762451,-1.0617090463638306,,-1.6368566751480103,-1.760636329650879,-1.0292876958847046,-0.3955646753311157,,4.175,0.27500000000000036,0.06586826347305398
A1M,2017,4,Wed Jan 31 2018 00:00:00 GMT+0100 (GMT+01:00),,,,,,-1.6263999938964844,3.852597236633301,-1.6620465517044067,,-1.7450885772705078,-1.809690237045288,-1.6035916805267334,-1.249728798866272,,12.2,-8.024999999999999,-0.6577868852459016
A1M,2017,3,Mon Oct 30 2017 00:00:00 GMT+0100 (GMT+01:00),,,,,,-2.2734999656677246,5.401537895202637,-1.8878967761993408,,-2.166046619415283,-2.273561477661133,-1.7459077835083008,-1.8878967761993408,,15.9,-3.700000000000001,-0.23270440251572333
A1M,2017,2,Sun Jul 30 2017 00:00:00 GMT+0200 (GMT+02:00),,,,,,-2.3069000244140625,7.6750993728637695,-4.285342216491699,,-2.232266902923584,-2.2867064476013184,-4.218873977661133,3.880580425262451,,11.25,4.65,0.4133333333333334
A1M,2017,1,Mon May 01 2017 00:00:00 GMT+0200 (GMT+02:00),,,,,,-1.9457999467849731,1.8160961866378784,-0.6320684552192688,,-1.9322916269302368,-1.9458085298538208,-0.5711805820465088,-0.6320684552192688,,16.2,-4.949999999999999,-0.3055555555555555
