date,high,low,close,open
441846000000,0,0,74.65,0
441932400000,0,0,75.65,0
442018800000,0,0,76.2,0
442105200000,0,0,76.725,0
442450800000,0,0,78.5,0
442537200000,0,0,77.55,0
442623600000,0,0,77.575,0
442710000000,0,0,78.6,0
442796400000,0,0,78.225,0
443055600000,0,0,78.375,0
443142000000,0,0,77.875,0
443228400000,0,0,77.325,0
443314800000,0,0,77.5,0
443401200000,0,0,78.1,0
443660400000,0,0,78.575,0
443746800000,0,0,78.65,0
443833200000,0,0,78.025,0
443919600000,0,0,78.05,0
444006000000,0,0,78.85,0
444265200000,0,0,79.6,0
444351600000,0,0,79.25,0
444438000000,0,0,80.15,0
444524400000,0,0,80.725,0
444610800000,0,0,82.175,0
444870000000,0,0,82.275,0
444956400000,0,0,81.25,0
445042800000,0,0,81.775,0
445129200000,0,0,80.575,0
445215600000,0,0,80.475,0
445474800000,0,0,81.225,0
445561200000,0,0,80.475,0
445647600000,0,0,80.45,0
445734000000,0,0,79.475,0
445820400000,0,0,79.15,0
446079600000,0,0,79.85,0
446166000000,0,0,79.95,0
446252400000,0,0,78.85,0
446338800000,0,0,78.9,0
446425200000,0,0,78.275,0
446684400000,0,0,77.675,0
446770800000,0,0,76.75,0
446857200000,0,0,75.95,0
446943600000,0,0,77.125,0
447030000000,0,0,77.85,0
447289200000,0,0,78.05,0
447375600000,0,0,77.3,0
447462000000,0,0,76.125,0
447548400000,0,0,76.05,0
447634800000,0,0,76.025,0
447894000000,0,0,75.775,0
447980400000,0,0,75.9,0
448066800000,0,0,76.7,0
448153200000,0,0,77.1,0
448239600000,0,0,78.175,0
448498800000,0,0,78.25,0
448585200000,0,0,77.55,0
448671600000,0,0,77.675,0
448758000000,0,0,77.65,0
448844400000,0,0,77.75,0
449100000000,0,0,78.3,0
449186400000,0,0,78.375,0
449272800000,0,0,78.2,0
449359200000,0,0,78.675,0
449704800000,0,0,79.15,0
449791200000,0,0,78.85,0
449877600000,0,0,78.175,0
449964000000,0,0,78.4,0
450050400000,0,0,78.175,0
450309600000,0,0,77.4,0
450396000000,0,0,76.3,0
450482400000,0,0,76.675,0
450568800000,0,0,74.475,0
450655200000,0,0,74.725,0
450914400000,0,0,75.2,0
451000800000,0,0,75.75,0
451087200000,0,0,76.25,0
451173600000,0,0,76.225,0
451605600000,0,0,75.875,0
451692000000,0,0,75.1,0
451778400000,0,0,74.525,0
451864800000,0,0,74.75,0
452296800000,0,0,75.95,0
452383200000,0,0,76.525,0
452469600000,0,0,76.25,0
452728800000,0,0,75.875,0
452815200000,0,0,76.025,0
452901600000,0,0,76.225,0
452988000000,0,0,76.4,0
453074400000,0,0,75.625,0
453333600000,0,0,74.55,0
453420000000,0,0,73.05,0
453506400000,0,0,72.925,0
453592800000,0,0,73.475,0
453679200000,0,0,73.625,0
453938400000,0,0,73.125,0
454024800000,0,0,72.325,0
454111200000,0,0,70.975,0
454197600000,0,0,70.65,0
454284000000,0,0,69.025,0
454543200000,0,0,68.875,0
454629600000,0,0,67.325,0
454716000000,0,0,68.475,0
455148000000,0,0,70.375,0
455234400000,0,0,70.35,0
455320800000,0,0,69.5,0
455407200000,0,0,69.425,0
455493600000,0,0,68.975,0
455839200000,0,0,68.8,0
455925600000,0,0,69.1,0
456012000000,0,0,69.125,0
456098400000,0,0,69.225,0
456357600000,0,0,68.575,0
456444000000,0,0,69.4,0
456530400000,0,0,70.05,0
456616800000,0,0,71,0
456962400000,0,0,71.625,0
457048800000,0,0,71.475,0
457135200000,0,0,71.225,0
457221600000,0,0,70.55,0
457308000000,0,0,71.175,0
457567200000,0,0,72.3,0
457653600000,0,0,73.025,0
457740000000,0,0,72.425,0
457826400000,0,0,72.275,0
457912800000,0,0,72.375,0
458172000000,0,0,72.1,0
458258400000,0,0,71.925,0
458344800000,0,0,72.175,0
458431200000,0,0,71.85,0
458517600000,0,0,71.675,0
458776800000,0,0,71.875,0
458863200000,0,0,72.05,0
458949600000,0,0,71.9,0
459036000000,0,0,71.65,0
459122400000,0,0,71.425,0
459381600000,0,0,71.35,0
459468000000,0,0,71.45,0
459554400000,0,0,71.325,0
459640800000,0,0,71.975,0
