ticker,year,period,reportEndDate,sectorId,marketId,branchId,bruttomarginal,operativtkassaflodesmarginal,vinsttillvaxt,ebittillvaxt,omsattningstillvaxt,vinst/aktie,egetkapital/aktie,fcf/aktie,rorelsemarginal,ebita/aktie,ebit/aktie,operativkassaflode/aktie,aretskassaflode/aktie,vinstmarginal,ebitda/marginal,fcf/Marginal,capex/proc,vinst/fcf,omsattning/aktie,fcf/proc,price,price3,price6,price12,price-3,price-6,price-12,stockChange,stockChangePct
247,2019,4,Fri Jan 31 2020 00:00:00 GMT+0100 (GMT+01:00),6,5,90,54.595001220703125,19.49799919128418,,,41.86899948120117,-0.09399999678134918,0.6499999761581421,0.08299999684095383,-17.673999786376953,-0.06800000369548798,-0.14000000059604645,0.1550000011920929,0.0860000029206276,-11.800000190734863,-8.595000267028809,,46.18600082397461,-112.45800018310547,0.7950000166893005,10.493000030517578,22.2,20.5,,,16.65,17.1,7.86,-1.6999999999999993,-0.07657657657657654
247,2019,3,Wed Oct 30 2019 00:00:00 GMT+0100 (GMT+01:00),6,5,90,52.354000091552734,8.031000137329102,,,37.06800079345703,-0.07000000029802322,0.8659999966621399,0.04899999871850014,-8.215999603271484,-0.03400000184774399,-0.054999999701976776,0.05299999937415123,0.057999998331069946,-10.508000373840332,-5.103000164031982,,7.704999923706055,-141.58900451660156,0.6639999747276306,7.4120001792907715,16.3,22.2,21.8,,16.9,14.05,8.5,5.899999999999999,0.361963190184049
247,2019,2,Tue Jul 30 2019 00:00:00 GMT+0200 (GMT+02:00),6,5,90,50.41699981689453,-3.921999931335449,,,35.87300109863281,-0.1770000010728836,0.8669999837875366,-0.08699999749660492,-24.545000076293945,-0.13300000131130219,-0.15299999713897705,-0.02500000037252903,-0.07500000298023224,-28.384000778198242,-21.231000900268555,,-256.6470031738281,,0.625,-13.98900032043457,16.9,16.3,22.2,,14.05,7.94,6.44,-0.5999999999999979,-0.03550295857988153
247,2019,1,Wed May 01 2019 00:00:00 GMT+0200 (GMT+02:00),6,5,90,59.68299865722656,-36.04100036621094,,,38.7140007019043,-0.08900000154972076,1.0369999408721924,-0.6259999871253967,-11.82800006866455,-0.052000001072883606,-0.07199999690055847,-0.21799999475479126,-0.2370000034570694,-14.729999542236328,-8.541000366210938,,-186.50900268554688,,0.6060000061988831,-103.26000213623047,14,17.25,17,20.5,7.9,7.9,6.12,2.8999999999999986,0.20714285714285705
247,2018,4,Thu Jan 31 2019 00:00:00 GMT+0100 (GMT+01:00),6,5,90,50.27000045776367,-13.114999771118164,,,,0.26100000739097595,1.0700000524520874,0.1379999965429306,-6.855999946594238,-0.035999998450279236,-0.03799999877810478,-0.0729999989271164,0.14000000059604645,47.48500061035156,-6.459000110626221,,,189.67599487304688,0.5600000023841858,24.594999313354492,7.86,14,17.1,22.2,8.22,6.54,6.86,6.14,0.7811704834605597
247,2018,3,Tue Oct 30 2018 00:00:00 GMT+0100 (GMT+01:00),6,5,90,56.97200012207031,6.886000156402588,,,,0.057999998331069946,,0.03099999949336052,13.102999687194824,0.06599999964237213,0.06599999964237213,0.03500000014901161,0.019999999552965164,11.675999641418457,13.163000106811523,,9.928999900817871,188.0070037841797,0.5019999742507935,6.202000141143799,8.5,7.94,14.05,16.3,6.44,6.1,,-0.6399999999999997,-0.07529411764705879
247,2018,2,Mon Jul 30 2018 00:00:00 GMT+0200 (GMT+02:00),6,5,90,53.55799865722656,62.98500061035156,,,,0.03999999910593033,,0.05299999937415123,6.26200008392334,0.029999999329447746,0.029999999329447746,0.30000001192092896,0.05400000140070915,8.458999633789062,6.336999893188477,,82.20800018310547,75.3290023803711,0.47600001096725464,11.206000328063965,6.44,8.5,7.94,16.9,6.1,6.82,,2.0599999999999996,0.31987577639751547
247,2018,1,Tue May 01 2018 00:00:00 GMT+0200 (GMT+02:00),6,5,90,55.59000015258789,-19.031999588012695,,,,0.03700000047683716,0.48100000619888306,-0.09200000017881393,5.599999904632568,0.026000000536441803,0.02500000037252903,-0.0860000029206276,-0.12600000202655792,8.270000457763672,5.688000202178955,,-7.165999889373779,-40.44499969482422,0.4519999921321869,-20.395000457763672,6.12,6.54,7.9,14,6.8,,,0.3200000000000003,0.05228758169934645
247,2017,3,Mon Oct 30 2017 00:00:00 GMT+0100 (GMT+01:00),6,5,90,,,,,,,,,,,,,,,,,,,,,,6.82,6.1,8.5,,,,6.12,Infinity
2CUREX,2019,3,Wed Oct 30 2019 00:00:00 GMT+0100 (GMT+01:00),4,4,79,33.37200164794922,147.8159942626953,,,-23.031999588012695,-0.10300000011920929,2.6740000247955322,0.3400000035762787,-77.66300201416016,-0.16899999976158142,-0.17900000512599945,0.3400000035762787,0.3400000035762787,-53.448001861572266,-73.41000366210938,,,-30.320999145507812,0.23000000417232513,147.8159942626953,13.1,13.45,12.5,,15.75,17.85,14.68,-0.049999999999998934,-0.0038167938931296897
2CUREX,2019,2,Tue Jul 30 2019 00:00:00 GMT+0200 (GMT+02:00),4,4,79,6.046000003814697,-216.31100463867188,,,183.82699584960938,-0.2590000033378601,2.934000015258789,-0.460999995470047,-129.6219940185547,-0.26600000262260437,-0.2759999930858612,-0.460999995470047,1.565000057220459,-124.53199768066406,-124.83699798583984,,,,0.21299999952316284,-216.31100463867188,15.75,13.1,13.45,,17.85,17.04,8.49,-2.6500000000000004,-0.16825396825396827
2CUREX,2019,1,Wed May 01 2019 00:00:00 GMT+0200 (GMT+02:00),4,4,79,36.68600082397461,-130.302001953125,,,885.7760009765625,-0.14800000190734863,1.180999994277954,-0.2879999876022339,-76.95700073242188,-0.1599999964237213,-0.17000000178813934,-0.2879999876022339,-0.2879999876022339,-67.20600128173828,-72.54000091552734,,,,0.22100000083446503,-130.302001953125,17.1,15.85,13.35,12.1,17.5,14.52,7.65,-1.3500000000000014,-0.07894736842105271
2CUREX,2018,4,Thu Jan 31 2019 00:00:00 GMT+0100 (GMT+01:00),4,4,79,13.58899974822998,-147.82200622558594,,,,-0.1420000046491623,1.2230000495910645,-0.3619999885559082,-132.90699768066406,-0.2549999952316284,-0.2709999978542328,-0.3019999861717224,-0.3619999885559082,-69.60199737548828,-125,,-19.98699951171875,,0.20399999618530273,-177.36700439453125,17,17.1,16,13.05,14.68,8.8,7.42,0.10000000000000142,0.005882352941176554
2CUREX,2018,3,Tue Oct 30 2018 00:00:00 GMT+0100 (GMT+01:00),4,4,79,39.22100067138672,-112.6510009765625,,,,-0.06800000369548798,,-0.36800000071525574,-21.055999755859375,-0.05900000035762787,-0.0689999982714653,-0.36899998784065247,-0.36800000071525574,-20.937999725341797,-17.871000289916992,,,,0.328000009059906,-112.17900085449219,14.68,17.04,17.85,13.1,8.49,7.51,,2.3200000000000003,0.1580381471389646
2CUREX,2018,2,Mon Jul 30 2018 00:00:00 GMT+0200 (GMT+02:00),4,4,79,-90.37000274658203,-265.3089904785156,,,,-0.30000001192092896,,-0.25999999046325684,-382.22198486328125,-0.29100000858306885,-0.29899999499320984,-0.20800000429153442,-0.25999999046325684,-383.3330078125,-371.7279968261719,,-25.22100067138672,,0.07800000160932541,-332.22198486328125,8.49,14.68,17.04,15.75,7.51,7.66,,6.1899999999999995,0.7290930506478209
